SKU,NAME,PRICE,COST,INSTOCK,URL,IMAGE
d-2198,Casual 3 Piece Amaranth Linen Unstitched Embroidered Dress with Printed Dupatta,1750,2500,Yes,https://xenon-store.com/products/casual-3-piece-pink-linen-unstitched-embroidered-dress-with-printed-dupatta,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_1_101ddb93-6826-486b-bae5-002894d04756.png?v=1604643565
d-2051,Casual 3 Piece Fairy Tale Linen Unstitched Embroidered Dress with Embroidered Front,1750,2500,Yes,https://xenon-store.com/products/casual-3-piece-fairy-tale-linen-unstitched-embroidered-dress-with-embroidered-front,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_4a179c4a-51d1-458b-8b67-fb81a3b6f249.png?v=1604655663
d-2159,Casual 3 Piece Tan Linen Unstitched Embroidered Dress with Embroidered Neck,1750,2500,Yes,https://xenon-store.com/products/casual-3-piece-linen-unstitched-embroidered-dress-with-printed-dupatta,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_ef13f8b5-d6a2-4b32-a383-fa05bb529d25.png?v=1604642544
D-2197-b,Casual 3 Piece Unstitched Mehroon Linen Embroidered Dress with Printed Dupatta,1750,2500,Yes,https://xenon-store.com/products/unstitched-printed-lawn-suit-d-2197-b,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_5_1b554540-574f-4c8f-8da7-a055efc49478.png?v=1604560943
D-1652,Casual 3 Piece Unstitched Sky Blue Linen Embroidered Dress with Printed Dupatta,1750,2500,Yes,https://xenon-store.com/products/unstitched-printed-lawn-suit-d-1652,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_2.png?v=1604560969
D-2143,Casual Black Linen Unstitched Embroidered Dress with Dupatta,1750,2500,Yes,https://xenon-store.com/products/d-2143-unstitched-black-embroidered-suit,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_4.png?v=1604580085
D-2256,Classic 3 Piece Black Linen Unstitched Embroidered Dress with Printed Dupatta,1750,2500,No,https://xenon-store.com/products/d-2256-unstitched-black-embroidered-suit,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_2_2a7252e5-d6b7-41e5-bb30-9b5b8567c307.png?v=1604561014
d-2263,Classic 3 Piece Linen Unstitched Suit with Embroidered Front,1750,2500,Yes,https://xenon-store.com/products/classic-3-piece-linen-unstitched-suit-with-embroidered-front,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/Untitled-1_58210d21-89eb-44a0-928d-24e43a7d3f8e.png?v=1604647872
d-2156,Classic 3 Piece Mehroon Linen Unstitched Embroidered Dress with Printed Dupatta,1750,2500,Yes,https://xenon-store.com/products/classic-3-piece-mehroon-linen-unstitched-embroidered-dress-with-printed-dupatta,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_d91df95d-257e-4a54-a17b-b44afb5b4599.png?v=1604643340
D-2228,Classic 3 Piece Off-white Linen Unstitched Embroidered Dress,1750,2500,Yes,https://xenon-store.com/products/d-2228-unstitched-yellow-embroidered-suit,https://cdn.shopify.com/s/files/1/0496/5738/1019/products/product-01_529cd12a-35b3-43c2-9716-35f2663fe45a.png?v=1604561037
